id,name,address,city_id,location,description,price
1,Colosseum,"Piazza del Colosseo, 1, 00184 Roma RM, Italy",1,41.89037789425863 12.49227381074512,"The Colosseum is an ancient amphitheater located in Rome, Italy. It is one of the most iconic landmarks of the Roman Empire and a popular tourist attraction.",42
2,Roman Forum,"Via della Salara Vecchia, 5/6, 00186 Roma RM, Italy",1,41.89267790743491 12.485303537730914,The Roman Forum is a rectangular plaza surrounded by the ruins of several important ancient government buildings. It served as the center of Roman public life for centuries.,55
3,Pantheon,"Piazza della Rotonda, 00186 Roma RM, Italy",1,41.89873854344063 12.476787064716968,"The Pantheon is a former Roman temple and now a church. It is known for its impressive dome and the oculus in the center, which allows natural light to enter the building.",12
4,Trevi Fountain,"Piazza di Trevi, 00187 Roma RM, Italy",1,41.90106521310689 12.483337318417298,The Trevi Fountain is a famous Baroque fountain in Rome. It is known for its stunning sculptures and is a popular spot for visitors to throw coins into the water.,51
5,Vatican City,Vatican City,1,41.90383220521926 12.452619081233724,"Vatican City is an independent city-state surrounded by Rome, Italy. It is the spiritual and administrative headquarters of the Roman Catholic Church and home to St. Peter's Basilica and the Vatican Museums.",42
6,Spanish Steps,"Piazza di Spagna, 00187 Roma RM, Italy",1,41.90613628317672 12.482754345403203,"The Spanish Steps is a famous staircase in Rome, connecting the Piazza di Spagna at the bottom with the TrinitÃ  dei Monti church at the top. It is a popular meeting point and gathering place.",28
7,Castel Sant'Angelo,"Lungotevere Castello, 50, 00193 Roma RM, Italy",1,41.903238845697494 12.466318910745905,"Castel Sant'Angelo is a fortress located on the right bank of the Tiber River in Rome. It has served various purposes throughout history, including as a mausoleum, a castle, and a museum.",17
8,Palatine Hill,"Via di San Gregorio, 00186 Roma RM, Italy",1,41.89067915447399 12.48755174110535,Palatine Hill is one of the seven hills of Rome and is considered the centermost of the famous Seven Hills of Rome. It offers panoramic views of the Roman Forum and the Circus Maximus.,27
9,Baths of Caracalla,"Viale delle Terme di Caracalla,52, 00153 Roma RM, Italy",1,41.87915799439464 12.492385751222889,The Baths of Caracalla were ancient Roman public baths built during the reign of Emperor Caracalla. They were one of the largest and most impressive thermal complexes in ancient Rome.,31
10,Piazza Navona,"Piazza Navona, 00186 Roma RM, Italy",1,41.8992680495627 12.473055380059884,"Piazza Navona is a beautiful square in Rome, famous for its Baroque architecture and stunning fountains. It is a lively gathering place and a hub of activity with numerous cafes and street performers.",17
11,Circus Maximus,"Via del Circo Massimo, 00186 Roma RM, Italy",1,41.886333054191944 12.485154953073383,"Circus Maximus is an ancient Roman chariot racing stadium and entertainment venue. It was the largest stadium in ancient Rome and could accommodate over 150,000 spectators.",15
12,Capitoline Hill,"Piazza del Campidoglio, 00186 Roma RM, Italy",1,41.89454118023064 12.483145121603664,"Capitoline Hill is one of the seven hills of Rome and was the citadel of the ancient city. It now houses the Capitoline Museums, which showcase a vast collection of ancient art and artifacts.",20
