id,name,address,city_id,location,desciption
1,Galleria Alberto Sordi,Piazza Colonna 00187 Roma RM Italy,1,41.902102 12.481708,"Galleria Alberto Sordi is a historic shopping mall located in the heart of Rome. It offers a blend of elegant shops, boutiques, cafes, and restaurants, making it a popular destination for both locals and tourists."
2,Via del Corso,"Via del Corso, 00186 Roma RM, Italy",1,41.902119 12.482297,"Via del Corso is one of the main shopping streets in Rome, known for its wide range of fashion boutiques, department stores, and popular brands. It offers a vibrant shopping experience in the heart of the city."
3,Via Condotti,"Via dei Condotti, 00187 Roma RM, Italy",1,41.905964 12.481628,"Via Condotti is a prestigious street in Rome, renowned for its luxury fashion boutiques, high-end jewelry stores, and designer brands. It attracts fashion enthusiasts and luxury shoppers from around the world."
4,La Rinascente,"Via del Tritone, 61, 00187 Roma RM, Italy",1,41.90600659996459 12.484760359092748,"La Rinascente is a famous department store in Rome, offering a wide range of products including fashion, cosmetics, home goods, and gourmet food. It provides a modern shopping experience and a great selection of international and Italian brands."
5,Porta Portese Market,"Via di Porta Portese, 00153 Roma RM, Italy",1,41.87251 12.472869,"Porta Portese Market is one of the largest flea markets in Rome, known for its diverse selection of vintage clothing, antiques, furniture, books, and much more. It's a treasure trove for bargain hunters and collectors."
6,Euroma2,"Viale dell'Oceano Pacifico, 83, 00144 Roma RM, Italy",1,41.828383 12.468162,"Euroma2 is a modern shopping center located on the outskirts of Rome. It features a wide range of shops, including fashion, electronics, home goods, and entertainment options such as cinemas and restaurants."
7,Castel Romano Designer Outlet,"Via Ponte di Piscina Cupa, 64, 00128 Castel Romano RM, Italy",1,41.63776 12.452605,"Castel Romano Designer Outlet is a popular shopping destination near Rome, offering discounted prices on a variety of designer brands. It features a charming village-like setting and a wide selection of fashion, accessories, and homeware."
8,Via Cola di Rienzo,"Via Cola di Rienzo, 00192 Roma RM, Italy",1,41.908646 12.465426,"Via Cola di Rienzo is a vibrant shopping street in Rome, known for its mix of local boutiques, department stores, and international brands. It offers a great shopping experience with a lively atmosphere."
9,Via Borgognona,"Via Borgognona, 00187 Roma RM, Italy",1,41.904793 12.481215,"Via Borgognona is a charming street in Rome known for its luxury fashion boutiques, art galleries, and upscale shops. It offers a sophisticated shopping experience with a range of high-end brands and designer stores."
10,Piazza di Spagna,"Piazza di Spagna, 00187 Roma RM, Italy",1,41.90546 12.482145,"Piazza di Spagna is a famous square in Rome that is home to the iconic Spanish Steps. It is a popular shopping area, featuring a mix of designer boutiques, luxury brands, and renowned Italian fashion houses."
11,Centro Commerciale Aura,"Viale di Valle Aurelia, 30, 00167 Roma RM, Italy",1,41.904707036258145 12.437269529492056,"Centro Commerciale Aura is a modern shopping center located in Rome. It offers a wide range of shops, including fashion, electronics, home goods, and a variety of dining options, providing a convenient and enjoyable shopping experience."
12,Centro Commerciale ROMAEST,"Via Collatina, Km 12.800, 00132 Roma RM, Italy",1,41.91616301623824 12.660801074978163,"Centro Commerciale ROMAEST is a large shopping mall located on the outskirts of Rome. It features a wide selection of shops, including fashion, electronics, home decor, and a range of entertainment options such as cinemas and restaurants."
13,Maximo Shopping Center,"Via Laurentina, 865, 00143 Roma RM, Italy",1,41.810083544780966 12.486444743207326,"Maximo Shopping Center is a modern retail complex situated in the southern part of Rome. It offers a diverse range of shops, including fashion, electronics, and supermarkets, providing a convenient shopping experience for local residents."
